user_id_cat,key_id_cat,quantity
0,9632,1
0,9945,2
0,10805,1
0,12101,1
0,13101,1
1,9448,1
1,9771,1
1,9949,1
1,10028,1
1,10789,1
1,13267,1
2,9691,1
3,207,2
3,7106,1
3,8218,1
3,8275,1
3,8751,2
3,8753,3
3,9512,1
3,10265,1
3,10542,1
3,10803,1
3,11272,2
3,11274,7
3,11369,1
3,11439,1
3,11892,1
3,11960,1
3,13069,1
4,8875,2
4,9099,1
4,11386,2
5,6,2
5,9,6
5,19,1
5,189,1
5,198,2
5,217,1
5,4800,1
5,5106,2
5,5139,1
5,5155,1
5,5402,1
5,5468,1
5,5504,1
5,5554,1
5,5898,1
5,5902,1
5,5970,1
5,8218,7
5,8332,1
5,8368,2
5,8384,4
5,8550,1
5,8614,1
5,8789,2
5,8799,1
5,8833,1
5,8880,2
5,9423,1
5,9488,1
5,9490,1
5,9653,3
5,9693,1
5,9755,7
5,9757,2
5,9771,3
5,9947,2
5,10202,2
5,10229,2
5,10237,1
5,10240,1
5,10243,2
5,10272,2
5,10419,1
5,10436,2
5,10457,1
5,10776,2
5,10827,2
5,10830,2
5,10889,1
5,11046,4
5,11049,2
5,11055,2
5,11078,2
5,11168,2
5,11350,2
5,11363,3
5,11454,5
5,11602,2
5,11669,5
5,11676,2
5,11722,3
5,11726,2
5,11832,1
5,11845,1
5,11885,2
5,11892,6
5,11986,4
5,12105,4
5,12108,2
5,12144,1
5,12180,1
5,12652,6
5,12659,1
5,12752,4
5,12807,2
5,12845,2
5,12974,1
5,13215,1
5,13279,2
5,13444,1
5,13504,2
5,13507,2
6,8343,1
6,8384,1
6,8753,1
6,11832,1
6,12022,1
7,217,1
7,7928,1
7,10081,1
7,12817,1
7,12819,1
8,7244,1
8,8343,2
8,8611,1
8,9098,1
8,9441,4
8,9771,2
8,9949,1
8,10081,2
8,10799,1
8,10983,1
8,11386,1
8,11845,3
8,12158,1
8,12982,1
8,13101,2
8,13267,1
8,13387,2
9,5909,2
9,8343,1
9,12033,3
9,12982,1
10,189,1
11,19,1
11,8134,1
11,8343,1
11,8751,1
11,8874,1
11,9285,1
11,9517,1
11,10185,2
11,10799,1
11,12983,2
12,19,1
12,212,1
12,217,2
12,8272,1
12,8753,1
12,9632,2
12,10544,1
12,11274,1
12,11589,1
12,11594,3
12,11722,1
12,11885,1
12,12974,2
12,13449,1
13,0,2
13,204,1
13,212,1
13,8110,3
13,8222,1
13,8343,1
13,8777,1
13,8875,1
13,9099,1
13,9304,1
13,10075,1
13,10202,2
13,11594,6
13,11624,1
13,11645,1
13,12033,1
13,13208,2
13,13267,2
14,7721,4
14,8165,1
14,8346,1
14,10213,1
14,11234,1
14,11244,2
14,11246,2
14,11253,2
14,11262,2
15,8377,1
15,8836,1
15,9579,1
15,10407,1
15,11892,1
15,13069,1
15,13101,1
16,253,1
17,8332,3
